"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=felis&taxon_reso=species&limit=100"
"Access Time","Fri 2017-02-03 21:56:14 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","felis"
"","idreso","species"
"","timerule","major"
"","taxon_status","all"
"","limit","100"
"Elapsed Time","0.00716"
"Records Found","78"
"Records Returned","78"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"220872","occ","","","21946","Felis libyca","species","224043","","Felis libyca","species","224043","Holocene","","0.0117","0","5214"
"220899","occ","","","21948","Felis libyca","species","224043","","Felis libyca","species","224043","Pleistocene","Holocene","2.588","0","5246"
"220938","occ","","","21949","Felis libyca","species","224043","","Felis libyca","species","224043","Pleistocene","Holocene","2.588","0","5248"
"220975","occ","","","21950","Felis libyca","species","224043","","Felis libyca","species","224043","Pleistocene","Holocene","2.588","0","5249"
"221010","occ","","","21951","Felis libyca","species","224043","","Felis libyca","species","224043","Pleistocene","Holocene","2.588","0","5250"
"221324","occ","","","21276","Felis libyca","species","224043","","Felis libyca","species","224043","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4430"
"225276","occ","","","21828","Felis cf. libyca","species","224043","","Felis libyca","species","224043","Pleistocene","","2.588","0.0117","4888"
"225610","occ","","","21884","Felis libyca","species","224043","","Felis libyca","species","224043","Pleistocene","Holocene","2.588","0","5223"
"225635","occ","","","21901","Felis libyca","species","224043","","Felis libyca","species","224043","Pleistocene","","2.588","0.0117","5209"
"225717","occ","","","21904","Felis silvestris","species","224042","","Felis silvestris","species","224042","Holocene","","0.0117","0","5230"
"225782","occ","","","21924","Felis libyca","species","224043","","Felis libyca","species","224043","Pleistocene","Holocene","2.588","0","5237"
"225850","occ","","","21929","Felis libyca","species","224043","","Felis libyca","species","224043","Pleistocene","","2.588","0.0117","5238"
"226006","occ","","","21952","Felis libyca","species","224043","","Felis libyca","species","224043","Pleistocene","Holocene","2.588","0","5251"
"226066","occ","","","21956","Felis libyca","species","224043","","Felis libyca","species","224043","Pleistocene","","2.588","0.0117","5255"
"226088","occ","","","21956","Felis nigripes","species","224046","","Felis nigripes","species","224046","Pleistocene","","2.588","0.0117","5255"
"226141","occ","","","21958","Felis silvestris","species","224042","","Felis silvestris","species","224042","Holocene","","0.0117","0","5230"
"226239","occ","","","21963","Felis libyca","species","224043","","Felis libyca","species","224043","Pleistocene","","2.588","0.0117","5266"
"339333","occ","","","32052","Felis cf. silvestris","species","224042","","Felis silvestris","species","224042","Late Pliocene","","3.6","2.588","5595"
"366127","occ","","","34667","Felis youngi","species","54357","","Felis youngi","species","54357","Pleistocene","","2.588","0.0117","9176"
"370250","occ","","","35045","Felis cf. silvestris","species","224042","","Felis silvestris","species","224042","Middle Pleistocene","","0.781","0.126","9309"
"370435","occ","","","35076","Felis cf. silvestris","species","224042","","Felis silvestris","species","224042","Pliocene","Pleistocene","5.333","0.0117","9424"
"457449","occ","","","45085","Felis silvestris","species","224042","","Felis silvestris","species","224042","Early Pleistocene","","2.588","0.781","11725"
"497682","occ","","","50259","Felis silvestris","species","224042","","Felis silvestris","species","224042","Middle Pleistocene","","0.781","0.126","9643"
"541058","occ","","","56563","Felis aff. prisca","species","348649","","Felis prisca","species","348649","Late Miocene","","11.608","5.333","15232"
"583582","occ","","","21695","Felis libyca","species","224043","","Felis libyca","species","224043","Pleistocene","","2.588","0.0117","17685"
"741211","occ","","","59167","Felis obscura","species","199989","","Felis obscura","species","199989","Messinian","Piacenzian","7.246","2.588","5401"
"856577","occ","","","95150","Felis silvestris","species","224042","","Felis silvestris","species","224042","Late Pliocene","","3.6","2.588","32407"
"874997","occ","","","96973","Felis libyca","species","224043","","Felis libyca","species","224043","Holocene","","0.0117","0","33119"
"935933","occ","","","107875","Felis domesticus","species","231413","","Felis domesticus","species","231413","Late Pleistocene","","0.126","0.0117","35863"
"970829","occ","","","115167","Felis libyca","species","224043","","Felis libyca","species","224043","Late Pleistocene","","0.126","0.0117","37301"
"970919","occ","","","115184","Felis libyca","species","224043","","Felis libyca","species","224043","Late Pleistocene","","0.126","0.0117","37303"
"971093","occ","","","115205","Felis libyca","species","224043","","Felis libyca","species","224043","Pleistocene","","2.588","0.0117","37314"
"978935","occ","","","21713","Felis n. sp. obscura","species","199989","","Felis obscura","species","199989","Late Pliocene","","3.6","2.588","4809"
"1074877","occ","","","133644","Felis platensis","species","247633","","Felis platensis","species","247633","Pleistocene","","2.588","0.0117","43044"
"1106778","occ","","","115191","Felis silvestris","species","224042","","Felis silvestris","species","224042","Pleistocene","","2.588","0.0117","45190"
"1118505","occ","","","142016","Felis platensis","species","247633","","Felis platensis","species","247633","Early Pleistocene","","2.588","0.781","46109"
"1196360","occ","","","18535","Lynx rexroadensis","species","47823","recombined as","Felis rexroadensis","species","46527","Zanclean","","5.333","3.6","50333"
"1304675","occ","","","20075","Felis lacustris","species","46520","","Felis lacustris","species","46520","Blancan","","4.9","1.8","57025"
"1348472","occ","","","182709","Felis silvestris","species","224042","","Felis silvestris","species","224042","Late Pleistocene","Holocene","0.126","0","60903"
"1350573","occ","","","183123","Felis silvestris","species","224042","","Felis silvestris","species","224042","Pleistocene","","2.588","0.0117","61122"
"1350754","occ","","","183152","Felis silvestris","species","224042","","Felis silvestris","species","224042","Early Pleistocene","","2.588","0.781","61133"
